ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
39,0,2,5494.87,1374.72,4,4.98E+07,1374.62,1377.08,98.5265,98.5357,#FF0000,0.1,55.4631
39,0,6,5494.87,1099.98,5,7.70E+08,1099.88,1101.89,98.5062,98.5448,#FF0000,0.1,55.4631
39,0,9,5494.87,916.819,6,2.16E+09,916.719,918.422,98.5062,98.5552,#FF0000,0.1,55.4631
39,0,14,5494.87,785.989,7,4.08E+09,785.889,787.377,98.488,98.5665,#FF0000,0.1,55.4631
39,0,6,5494.87,687.866,8,1.27E+09,687.766,689.094,98.5062,98.5552,#FF0000,0.1,55.4631
40,0,11,528.364,529.371,1,2.00E+09,529.271,531.477,99.5287,99.589,#FF0000,0.1,-339.146
41,0,39,2647.25,1324.63,2,4.37E+08,1324.53,1327.24,62.7908,63.7047,#FF0000,0.1,56.7998
41,0,334,2647.25,883.425,3,2.90E+10,883.325,885.196,62.6223,72.9965,#FF0000,0.1,56.7998
41,0,11,2647.25,662.821,4,2.76E+07,662.721,664.174,62.9578,63.5222,#FF0000,0.1,56.7998
42,0,2,835.872,418.943,2,9.74E+08,418.843,420.046,10.5,10.6248,#FF0000,0.1,-389.974
43,0,1,1254.81,628.411,2,2.82E+07,628.311,630.015,10.4895,10.4895,#FF0000,0.1,-342.033
43,0,1,1254.81,314.709,4,7.64E+08,314.609,315.561,10.4797,10.4797,#FF0000,0.1,-342.033
44,0,1,5723.15,1145.64,5,3.68E+07,1145.54,1147.54,98.7363,98.7363,#FF0000,0.1,-480.998
44,0,2,5723.15,954.865,6,1.28E+09,954.765,956.469,98.7363,98.7363,#FF0000,0.1,-480.998
45,0,3,375.252,376.26,1,9.70E+08,376.16,377.362,100.286,100.333,#FF0000,0.1,-339.146
46,0,1,2319.01,580.76,4,7.38E+08,580.66,582.112,99.7083,99.7083,#FF0000,0.1,-2201.37
47,0,3,2744.17,344.029,8,7.43E+08,343.929,344.881,99.9357,99.9445,#FF0000,0.1,-1302.31
48,0,2,2506.61,418.776,6,2.27E+08,418.676,419.711,10.4797,10.6248,#FF0000,0.1,-1003.21
48,0,5,2506.61,314.334,8,2.33E+09,314.234,315.06,10.5367,10.643,#FF0000,0.1,-1003.21
49,0,20,359.267,360.274,1,2.63E+09,360.174,361.377,99.2625,99.592,#FF0000,0.1,-339.055
50,0,5,516.328,517.335,1,1.42E+09,517.235,519.441,99.3792,99.4245,#FF0000,0.1,-339.127
51,0,15,1855.03,928.524,2,3.04E+08,928.424,930.628,91.4513,91.7205,#FF0000,0.1,56.7729
51,0,24,1855.03,619.352,3,4.80E+09,619.252,620.788,91.3645,91.832,#FF0000,0.1,56.7729
52,0,5,940.356,314.459,3,2.20E+09,314.359,315.562,10.5367,10.643,#FF0000,0.1,-447.343
53,0,1,3671.03,735.213,5,6.78E+08,735.113,736.717,85.894,85.894,#FF0000,0.1,-701.055
54,0,7,2855.26,204.954,14,6.85E+08,204.854,205.484,12.4797,12.8915,#FF0000,0.1,-1202.15
55,0,7,3059.35,204.964,15,6.82E+08,204.864,205.465,12.4797,12.8915,#FF0000,0.1,-795.972
56,0,3,3612.01,1205.01,3,2.08E+07,1204.91,1207.45,85.1475,85.1665,#FF0000,0.1,55.8104
56,0,23,3612.01,904.009,4,1.35E+09,903.909,905.864,84.9597,85.378,#FF0000,0.1,55.8104
56,0,37,3612.01,723.409,5,5.74E+09,723.309,724.912,84.9365,86.1923,#FF0000,0.1,55.8104
56,0,33,3612.01,603.009,6,2.69E+09,602.909,604.278,84.9597,86.1733,#FF0000,0.1,55.8104
56,0,22,3612.01,517.009,7,6.66E+08,516.909,518.111,85.0135,86.0768,#FF0000,0.1,55.8104
56,0,1,3612.01,452.508,8,1.02E+07,452.408,453.485,85.216,85.216,#FF0000,0.1,55.8104
57,0,10,7977.75,1330.63,6,1.13E+08,1330.53,1332.74,81.3858,81.5265,#FF0000,0.1,56.5402
57,0,19,7977.75,1140.69,7,5.22E+08,1140.59,1142.5,81.3685,81.6132,#FF0000,0.1,56.5402
57,0,13,7977.75,998.226,8,5.64E+08,998.126,999.83,81.3685,81.6333,#FF0000,0.1,56.5402
57,0,14,7977.75,887.424,9,1.60E+09,887.324,888.861,81.3685,81.6575,#FF0000,0.1,56.5402
57,0,16,7977.75,798.783,10,2.83E+09,798.683,800.085,81.3463,81.6773,#FF0000,0.1,56.5402
57,0,14,7977.75,726.258,11,7.58E+08,726.158,727.451,81.3685,81.6575,#FF0000,0.1,56.5402
57,0,6,7977.75,665.82,12,7.12E+07,665.72,666.922,81.3858,81.5265,#FF0000,0.1,56.5402
58,0,6,2716.56,906.527,3,2.17E+08,906.427,908.632,8.94633,8.99683,#FF0000,0.1,54.1642
58,0,10,2716.56,680.147,4,1.08E+09,680.047,681.751,8.93483,9.01767,#FF0000,0.1,54.1642
58,0,10,2716.56,544.319,5,1.79E+09,544.219,545.622,8.93483,9.00667,#FF0000,0.1,54.1642
58,0,12,2716.56,453.767,6,2.53E+09,453.667,454.87,8.92333,9.01767,#FF0000,0.1,54.1642
58,0,7,2716.56,389.087,7,5.38E+08,388.987,390.046,8.94633,8.99683,#FF0000,0.1,54.1642
59,0,1,5574.91,1394.74,4,1.83E+07,1394.64,1397.09,98.4198,98.4198,#FF0000,0.1,53.7427
59,0,3,5574.91,1115.99,5,1.70E+08,1115.89,1117.89,98.4097,98.4298,#FF0000,0.1,53.7427
59,0,7,5574.91,930.159,6,1.20E+09,930.059,931.763,98.3965,98.4298,#FF0000,0.1,53.7427
59,0,9,5574.91,797.423,7,1.86E+09,797.323,798.812,98.3815,98.4388,#FF0000,0.1,53.7427
59,0,6,5574.91,697.871,8,1.03E+09,697.771,699.099,98.3815,98.4388,#FF0000,0.1,53.7427
59,0,3,5574.91,620.442,9,1.51E+08,620.342,621.544,98.4097,98.4298,#FF0000,0.1,53.7427
